EventID,ChapterID,EventTitle,EventType,Venue,EventDate,Capacity
4066,3007,"Data Science Challenge",Competition,"Computer Lab 2",2026-04-24,70
4067,3007,"Big Data Analytics Seminar",Seminar,Auditorium,2026-05-22,160
4068,3007,"Power BI Workshop",Workshop,"Data Science Lab",2026-06-11,80
4069,3007,"Predictive Analytics Hackathon",Hackathon,"Innovation Lab",2026-07-30,120
4070,3007,"Data Driven Decision Making","Guest Lecture","Seminar Hall 1",2026-08-24,140
4071,3008,"Introduction to IoT Workshop",Workshop,"IoT Lab",2026-01-26,70
4072,3008,"Smart Home Automation Seminar",Seminar,"Seminar Hall 1",2026-02-14,120
4073,3008,"IoT Sensor Integration Workshop",Workshop,"IoT Lab",2026-03-05,65
4074,3008,"Edge Computing Guest Lecture","Guest Lecture",Auditorium,2026-03-25,150
4075,3008,"MQTT and IoT Communication",Training,"IoT Lab",2026-04-11,60
4076,3008,"Smart Agriculture Hackathon",Hackathon,"Innovation Lab",2026-05-04,100
4077,3008,"Industrial IoT Seminar",Seminar,"Seminar Hall 2",2026-05-28,140
4078,3008,"Embedded IoT Development Workshop",Workshop,"IoT Lab",2026-06-20,70
4079,3008,"IoT Security Challenge",Competition,"Computer Lab 2",2026-07-18,75
4080,3008,"Future of Connected Devices",Seminar,Auditorium,2026-08-28,170
4081,3009,"Embedded Systems Workshop",Workshop,"Electronics Lab",2026-01-29,60
4082,3009,"Microcontroller Programming Seminar",Seminar,"Seminar Hall 2",2026-02-17,110
4083,3009,"PCB Design Workshop",Workshop,"Electronics Lab",2026-03-07,55
4084,3009,"VLSI Design Guest Lecture","Guest Lecture",Auditorium,2026-03-28,140
4085,3009,"Digital Electronics Training",Training,"Electronics Lab",2026-04-13,65
4086,3009,"Embedded Product Design Challenge",Competition,"Innovation Lab",2026-05-07,60
4087,3009,"FPGA Development Workshop",Workshop,"Electronics Lab",2026-05-30,50
4088,3009,"Semiconductor Technology Seminar",Seminar,Auditorium,2026-06-25,160
4089,3009,"Hardware Prototyping Hackathon",Hackathon,"Innovation Lab",2026-07-21,90
4090,3009,"Advanced Embedded Systems Conference",Conference,"Seminar Hall 1",2026-08-31,150
4091,3010,"Introduction to Power Systems",Workshop,"Electrical Lab",2026-01-31,70
4092,3010,"Renewable Energy Seminar",Seminar,Auditorium,2026-02-19,160
4093,3010,"Solar Energy Systems Workshop",Workshop,"Electrical Lab",2026-03-09,65
4094,3010,"Smart Grid Guest Lecture","Guest Lecture","Seminar Hall 1",2026-03-31,120
4095,3010,"Energy Management Training",Training,"Electrical Lab",2026-04-19,60
4096,3010,"Electric Vehicle Technology Seminar",Seminar,Auditorium,2026-05-14,150
4097,3010,"Power Electronics Workshop",Workshop,"Electrical Lab",2026-06-06,65
4098,3010,"Energy Innovation Challenge",Competition,"Innovation Lab",2026-06-27,70
4099,3010,"Green Energy Hackathon",Hackathon,"Innovation Lab",2026-07-27,100
4100,3010,"Future Energy Systems Conference",Conference,Auditorium,2026-09-01,180
4101,3011,"Biomedical Engineering Introduction",Seminar,Auditorium,2026-02-02,140
4102,3011,"Medical Imaging Workshop",Workshop,"Biomedical Lab",2026-02-21,70
4103,3011,"Healthcare Data Analytics",Training,"Data Science Lab",2026-03-14,80
4104,3011,"Wearable Health Technology","Guest Lecture","Seminar Hall 2",2026-04-05,120
4105,3011,"Biomedical Signal Processing",Workshop,"Biomedical Lab",2026-04-26,65
4106,3011,"AI in Healthcare Seminar",Seminar,Auditorium,2026-05-19,170
4107,3011,"Medical Device Design Challenge",Competition,"Innovation Lab",2026-06-13,60
4108,3011,"Health Monitoring Systems Workshop",Workshop,"Biomedical Lab",2026-07-05,70
4109,3011,"Digital Healthcare Hackathon",Hackathon,"Innovation Lab",2026-08-07,100
4110,3011,"Future of Biomedical Engineering",Conference,Auditorium,2026-09-05,180
4111,3012,"Technology Management Fundamentals",Workshop,"Seminar Hall 1",2026-01-17,100
4112,3012,"Innovation Management Seminar",Seminar,Auditorium,2026-02-07,150
4113,3012,"Entrepreneurship and Technology","Guest Lecture","Seminar Hall 2",2026-02-28,130
4114,3012,"Project Management Workshop",Workshop,"Seminar Hall 1",2026-03-21,90
4115,3012,"Technology Strategy Training",Training,"Computer Lab 1",2026-04-09,70
4116,3012,"Innovation Challenge",Competition,"Innovation Lab",2026-05-02,80
4117,3012,"Startup Technology Hackathon",Hackathon,"Innovation Lab",2026-06-08,120
4118,3012,"Leadership in Technology Seminar",Seminar,Auditorium,2026-07-11,140
4119,3012,"Technology Transfer Guest Lecture","Guest Lecture","Seminar Hall 2",2026-08-15,110
4120,3012,"Annual Technology Management Conference",Conference,Auditorium,2026-09-10,200
